trial_num,window,stim_on_s2,stim_on_s3,stim_frac_s2,stim_frac_s3,mean_mA_s2,mean_mA_s3,acc_s2,acc_s3,digits_s2,agreement,discordance_type
3,Fixation,False,True,0.0,1.0,1.9,4.5,1,1,3,False,S2 OFF / S3 ON
3,Stimulus,False,True,0.4,0.778,1.96,3.35,1,1,3,False,S2 OFF / S3 ON
4,Stimulus,False,True,0.0,0.778,0.056,3.05,1,0,3,False,S2 OFF / S3 ON
6,Feedback,False,True,0.0,1.0,0.0,4.425,0,1,4,False,S2 OFF / S3 ON
7,Fixation,False,True,0.0,1.0,1.9,4.5,0,0,4,False,S2 OFF / S3 ON
7,Choice,True,False,1.0,0.0,2.225,0.138,0,0,4,False,S2 ON / S3 OFF
7,Feedback,True,False,1.0,0.0,3.025,0.175,0,0,4,False,S2 ON / S3 OFF
8,Fixation,True,False,1.0,0.0,3.1,0.1,0,1,4,False,S2 ON / S3 OFF
8,Stimulus,True,False,1.0,0.0,3.043,0.15,0,1,4,False,S2 ON / S3 OFF
8,Choice,True,False,1.0,0.0,3.06,0.26,0,1,4,False,S2 ON / S3 OFF
9,Stimulus,True,False,1.0,0.0,3.977,0.055,1,0,4,False,S2 ON / S3 OFF
9,Choice,True,False,1.0,0.0,4.025,0.06,1,0,4,False,S2 ON / S3 OFF
9,Feedback,True,False,1.0,0.0,4.025,0.125,1,0,4,False,S2 ON / S3 OFF
10,Fixation,True,False,1.0,0.0,4.1,0.2,0,1,4,False,S2 ON / S3 OFF
10,Stimulus,True,False,1.0,0.111,4.354,0.578,0,1,4,False,S2 ON / S3 OFF
11,Fixation,True,False,1.0,0.0,4.4,0.1,0,0,4,False,S2 ON / S3 OFF
11,Stimulus,True,False,1.0,0.0,4.392,0.05,0,0,4,False,S2 ON / S3 OFF
11,Choice,True,False,1.0,0.0,4.18,0.014,0,0,4,False,S2 ON / S3 OFF
11,Feedback,True,False,1.0,0.0,4.275,0.025,0,0,4,False,S2 ON / S3 OFF
12,Fixation,True,False,1.0,0.0,4.3,0.1,0,0,4,False,S2 ON / S3 OFF
12,Stimulus,True,False,1.0,0.0,4.2,0.061,0,0,4,False,S2 ON / S3 OFF
12,Choice,False,True,0.0,0.667,0.0,2.683,0,0,4,False,S2 OFF / S3 ON
12,Feedback,False,True,0.0,0.5,0.0,1.175,0,0,4,False,S2 OFF / S3 ON
13,Fixation,True,False,1.0,0.0,4.45,0.1,0,1,4,False,S2 ON / S3 OFF
13,Stimulus,True,False,1.0,0.0,4.496,0.056,0,1,4,False,S2 ON / S3 OFF
13,Choice,True,False,1.0,0.0,4.525,0.117,0,1,4,False,S2 ON / S3 OFF
13,Feedback,True,False,1.0,0.0,4.525,0.225,0,1,4,False,S2 ON / S3 OFF
14,Fixation,True,False,1.0,0.0,4.5,0.3,0,1,4,False,S2 ON / S3 OFF
14,Stimulus,True,False,1.0,0.0,4.496,0.25,0,1,4,False,S2 ON / S3 OFF
14,Choice,True,False,1.0,0.0,4.48,0.2,0,1,4,False,S2 ON / S3 OFF
